st_date,blknum,accounts,storages,trienodes,codes,accountsize,storagesize,trienodesize,codesize
2015-11-15,541678,32556,61392,115072,3879,1721842,4757880,13780636,5486972
2015-11-16,546873,32663,63925,118701,3911,1729403,4954188,14167153,5502433
2015-11-17,551912,32772,64245,119299,3945,1737506,4978988,14239363,5518115
2015-11-18,557075,32906,64696,120116,3975,1746867,5013940,14338662,5533904
2015-11-19,562150,33013,65124,120855,4008,1755405,5047110,14427086,5554302
2015-11-20,567127,33147,65751,121913,4050,1765656,5095703,14555326,5583951
2015-11-21,571848,33265,66329,122868,4068,1773813,5140498,14666060,5596852
2015-11-22,576883,33377,66656,123475,4103,1781291,5165840,14738755,5610242
2015-11-23,581932,33825,66999,124557,4133,1807683,5192423,14885913,5632700
2015-11-24,587021,33972,67485,125426,4185,1819198,5230088,14990694,5660837
2015-11-25,592022,34189,68136,126628,4230,1834133,5280540,15138920,5701232
2015-11-26,596962,34290,70995,130584,4251,1841206,5502113,15559479,5733690
2015-11-27,601902,34448,71122,130968,4267,1850560,5511955,15610565,5745665
2015-11-28,607076,34513,71224,131174,4278,1854704,5519860,15637908,5770870
2015-11-29,612084,34580,71650,131826,4294,1859416,5552875,15710327,5801687
2015-11-30,617134,34663,72074,132535,4314,1865485,5585735,15793205,5834383
2015-12-01,622214,34777,77506,140192,4334,1873315,6006715,16617182,5847621
2015-12-02,627292,34882,78090,141142,4374,1882456,6051975,16726323,5943781
2015-12-03,632116,34981,78764,142197,4407,1890869,6104210,16844626,6016270
2015-12-04,637321,35083,79336,143092,4439,1899242,6148540,16947269,6084602
2015-12-05,642329,35251,80773,145264,4516,1915008,6259908,17190510,6163397
2015-12-06,647335,35392,81376,146297,4572,1927093,6306640,17308406,6265371
2015-12-07,652248,35661,83884,150245,4731,1954381,6501010,17768440,6442007
2015-12-08,657219,35807,84253,150954,4780,1964086,6529608,17850217,6486215
2015-12-09,662130,35925,84474,151403,4820,1972910,6546735,17904346,6538774
2015-12-10,667338,36041,85114,152457,4860,1982306,6596335,18021881,6568367
2015-12-11,672482,36188,85691,153478,4914,1994781,6641053,18139694,6618551
2015-12-12,677544,36320,88284,157170,4968,2006350,6842010,18520424,6664049
2015-12-13,682620,36739,93875,165624,5001,2030907,7275313,19395656,6683408
2015-12-14,687900,36931,97115,170337,5081,2046805,7526413,19887735,6923088
2015-12-15,692899,37090,132447,218355,5148,2060878,10264643,24668392,7022133
2015-12-16,697969,37211,177118,279316,5180,2069597,13726645,30734707,7060646
2015-12-17,702951,37344,198175,309415,5206,2078130,15358563,33719820,7074009
2015-12-18,708011,37698,210159,326770,5298,2104349,16287323,35482639,7164379
2015-12-19,713031,37972,220948,342394,5410,2128078,17123470,37053681,7333693
2015-12-20,718069,38094,231474,357418,5420,2134731,17939235,38547886,7340016
2015-12-21,723016,38238,243582,374612,5446,2144582,18877605,40272196,7354592
2015-12-22,727992,38418,257253,393768,5506,2159299,19937108,42244972,7418355
2015-12-23,733121,38543,267451,408118,5529,2167299,20727453,43684116,7443225
2015-12-24,738233,38651,287525,434974,5559,2175093,22283188,46460544,7476724
2015-12-25,743251,38757,302732,455512,5574,2181811,23461730,48585666,7484133
2015-12-26,748331,38871,308914,464167,5599,2189451,23940835,49464203,7519364
2015-12-27,753335,39012,317522,476167,5640,2199806,24607955,50697437,7558255
2015-12-28,758353,39154,326103,488129,5661,2208997,25272983,51903593,7596847
2015-12-29,763434,39341,331701,496059,5718,2223069,25706828,52716789,7680976
2015-12-30,768415,39512,337289,503824,5795,2238499,26139898,53512741,7780631
2015-12-31,773443,39663,346939,516752,5851,2252384,26887773,54841733,7864691
2016-01-01,778483,39896,349056,519931,5904,2267986,27051840,55181584,7959593
2016-01-02,783368,40031,350673,522253,5941,2277744,27177158,55426008,8006072
2016-01-03,788463,40180,353149,525731,5969,2287592,27369048,55787286,8029728
2016-01-04,793597,40331,355373,528897,5986,2296850,27541408,56117835,8056666
2016-01-05,798693,40525,357584,532108,6042,2311387,27712760,56456654,8132203
2016-01-06,803819,40701,372875,552613,6097,2325146,28897813,58524299,8197441
2016-01-07,808909,40961,393247,579803,6175,2345491,30476643,61273163,8315118
2016-01-08,813890,41183,400285,589553,6231,2361821,31022088,62302763,8391934
2016-01-09,819066,41392,402193,592382,6270,2375790,31169958,62604703,8476326
2016-01-10,824165,41716,406044,597921,6374,2400818,31468410,63195128,8734232
2016-01-11,829258,41985,408818,601908,6449,2420182,31683395,63626089,8939521
2016-01-12,834365,42306,411051,605350,6507,2441021,31856453,64004944,9116280
2016-01-13,839295,42652,413268,608722,6558,2462614,32028270,64372893,9185465
2016-01-14,844297,42880,417174,614082,6599,2477778,32330985,64928944,9284713
2016-01-15,849387,43103,419494,617438,6646,2493136,32510785,65286353,9403493
2016-01-16,854471,43507,421721,620956,6704,2518904,32683378,65674440,9479380
2016-01-17,859517,43792,424761,625425,6757,2538546,32918978,66160772,9525152
2016-01-18,864553,44069,426518,628212,6807,2557939,33055145,66469401,9572266
2016-01-19,869625,44465,434103,639184,6851,2582621,33642983,67651982,9628336
2016-01-20,874597,44783,442029,650505,6898,2602522,34257248,68851474,9695042
2016-01-21,879635,45233,442991,652389,6965,2627274,34331803,69077062,9762311
2016-01-22,884598,45657,443880,654151,7073,2658854,34400700,69289826,9898493
2016-01-23,889605,46074,446707,658550,7176,2689650,34619793,69777388,10037355
2016-01-24,894533,46664,447499,660431,7265,2727930,34681173,70013329,10141039
2016-01-25,899701,47393,449654,664378,7358,2773072,34848185,70474061,10223694
2016-01-26,904582,48214,456212,674619,7439,2821797,35356430,71599881,10307270
2016-01-27,909734,49133,461484,683263,7512,2875014,35765010,72566245,10371553
2016-01-28,914717,49921,470705,697150,7611,2923746,36479638,74084239,10489070
2016-01-29,919776,50925,473070,701709,7693,2982149,36662925,74629664,10568688
2016-01-30,924757,51893,475440,706311,7776,3038712,36846600,75175694,10662470
2016-01-31,929774,52877,477191,710106,7850,3095912,36982303,75638704,10712521
2016-02-01,934646,53771,478937,713730,7948,3150374,37117618,76076614,10844584
2016-02-02,939661,54461,480055,716215,8036,3192870,37204263,76381636,10956281
2016-02-03,944616,55043,481296,718679,8095,3227301,37300440,76682702,11018340
2016-02-04,949815,55720,482238,720900,8162,3269035,37373445,76961214,11081989
2016-02-05,954877,56324,483182,723053,8267,3308790,37446605,77226882,11170901
2016-02-06,959923,57128,484133,725445,8384,3360395,37520308,77531128,11292192
2016-02-07,964910,57649,485505,728045,8474,3393806,37626638,77834903,11411127
2016-02-08,969997,58172,486289,729787,8519,3424686,37687398,78053386,11427985
2016-02-09,975068,58837,487150,731879,8644,3469686,37754125,78314153,11542947
2016-02-10,980123,59587,487944,734041,8719,3513904,37815660,78588478,11634509
2016-02-11,985084,60873,488592,736846,8780,3583925,37865880,78964320,11681970
2016-02-12,990103,63179,489755,741566,9140,3735309,37956013,79608760,11929798
2016-02-13,995136,64707,490553,744809,9244,3821054,38017858,80049783,12011147
2016-02-14,1000229,66127,491585,748241,9335,3899813,38097838,80500296,12160397
2016-02-15,1005219,67235,492410,750947,9397,3960981,38161775,80858020,12231629
2016-02-16,1010194,68220,493289,753542,9470,4016696,38229898,81195470,12320560
2016-02-17,1015219,69177,494475,756467,9572,4073765,38321813,81562952,12454867
2016-02-18,1020076,70135,495566,759372,9671,4130549,38406365,81929201,12566563
2016-02-19,1025075,70934,496637,761975,9763,4178256,38489368,82255608,12687068
2016-02-20,1030108,72310,498295,766037,10398,4306861,38617863,82764513,13134933
2016-02-21,1035159,72972,499499,768572,10458,4345587,38711173,83076382,13219865
2016-02-22,1040214,74711,501684,774136,10611,4448090,38880510,83800348,13327588
2016-02-23,1045317,75626,502862,777099,10716,4503637,38971805,84172454,13490327
2016-02-24,1050286,76571,504472,780694,10855,4565200,39096580,84612222,13716337
2016-02-25,1055315,77383,505470,783197,10930,4612707,39173925,84930362,13850569
2016-02-26,1060443,78391,506355,785839,11040,4672802,39242513,85272260,14048084
2016-02-27,1065498,79759,517976,804520,11735,4805874,40143140,87487551,14445369
2016-02-28,1070490,80558,519171,807315,11819,4853846,40235753,87837465,14549194
2016-02-29,1075519,81918,520142,810605,11933,4932979,40311005,88277315,14680709
2016-03-01,1080339,83736,521789,815421,12129,5040802,40438648,88906266,14870576
2016-03-02,1085391,85596,523320,820118,12245,5145835,40557300,89530117,14967967
2016-03-03,1090477,87769,524247,824488,12328,5263790,40629143,90134820,15052244
2016-03-04,1095491,90061,525464,829356,12424,5389243,40723460,90798426,15230972
2016-03-05,1100485,92467,527114,835019,12560,5523627,40851335,91558766,15539463
2016-03-06,1105623,95569,529302,842396,12730,5696494,41020905,92536543,16086627
2016-03-07,1110530,98435,531151,849009,12851,5853368,41164203,93433342,16420359
2016-03-08,1115556,100311,532094,852941,12954,5956464,41237285,93973360,16766814
2016-03-09,1120573,102676,535149,860355,13120,6091339,41474048,94944354,17146343
2016-03-10,1125562,105064,536708,865883,13313,6231106,41594870,95684702,17624188
2016-03-11,1130758,107466,537851,870816,13411,6361707,41683453,96363967,18002109
2016-03-12,1135823,108948,539077,874587,13503,6437514,41778468,96855361,18310732
2016-03-13,1140846,110866,540256,878884,13608,6538269,41869840,97429111,18699867
2016-03-14,1146032,112795,541481,883266,13730,6642051,41964778,98011726,19245648
2016-03-15,1151140,114944,543557,889118,13913,6763134,42125668,98760090,20028153
2016-03-16,1157119,116774,545087,893778,14075,6866448,42244243,99366260,20655289
2016-03-17,1163144,118393,546590,898017,14224,6959091,42360725,99916483,21325448
2016-03-18,1169226,120059,547845,902063,14318,7046574,42457988,100448212,21722847
2016-03-19,1175188,121936,549449,906870,14432,7141294,42582298,101071675,22125304
2016-03-20,1181270,123189,562305,927047,14508,7207395,43578638,103263766,22449673
2016-03-21,1187297,124702,570675,940962,14657,7291738,44227313,104814580,23053259
2016-03-22,1193291,126227,574573,948497,14851,7379080,44529408,105698516,23637687
2016-03-23,1199362,127401,577800,954577,14979,7447533,44779500,106411534,24169277
2016-03-24,1205336,128743,586331,968181,15214,7535278,45440653,107913540,25052878
2016-03-25,1211437,130019,594511,981373,15469,7621754,46074603,109368931,26157792
2016-03-26,1217503,131113,602373,993964,15579,7685590,46683908,110757666,26555859
2016-03-27,1223598,132149,607641,1002779,15701,7747669,47092178,111747519,27054842
2016-03-28,1229644,133169,608760,1005763,15791,7804269,47178900,112125216,27473016
2016-03-29,1235643,134549,610495,1010081,15919,7883763,47313363,112666760,27975303
2016-03-30,1241653,136350,612330,1015021,16129,7987184,47455575,113300557,28527907
2016-03-31,1247700,138779,617650,1025548,16772,8165229,47867875,114562199,29224804
2016-04-01,1253721,140810,619859,1031098,17648,8343947,48039073,115261944,30199959
2016-04-02,1259802,141887,621614,1034937,17786,8408264,48175085,115735108,30660704
2016-04-03,1265738,142994,622831,1038063,18002,8468869,48269403,116142142,30952539
2016-04-04,1271773,143929,623915,1040817,18123,8529051,48353413,116493240,31300047
2016-04-05,1277859,145127,626824,1046419,18248,8594640,48578860,117161968,31604868
2016-04-06,1283892,146320,630545,1053326,18388,8664398,48867238,117987601,31969702
2016-04-07,1289896,147436,633123,1058361,18500,8727734,49067033,118586408,32340550
2016-04-08,1295849,148576,634036,1061230,18654,8795022,49137790,118962697,32745602
2016-04-09,1301951,149380,635583,1064475,18769,8844354,49257683,119355356,33134661
2016-04-10,1307884,150301,636552,1067018,18849,8893106,49332780,119681611,33414252
2016-04-11,1313949,151526,637499,1069964,18938,8958792,49406173,120069228,33710077
2016-04-12,1319886,152574,638442,1072687,19051,9018914,49479255,120421145,34080399
2016-04-13,1325901,153797,639777,1076168,19145,9085802,49582718,120863816,34339428
2016-04-14,1331916,154989,648465,1089631,19221,9147483,50256038,122310301,34587112
2016-04-15,1337937,155970,657467,1103523,19299,9198560,50953693,123770136,34834159
2016-04-16,1343996,156799,658861,1106558,19378,9246474,51061728,124140651,35090144
2016-04-17,1350015,157574,659895,1109014,19442,9290134,51141863,124447781,35309028
2016-04-18,1356030,158448,660914,1111607,19501,9337280,51220835,124775965,35562882
2016-04-19,1362085,159362,662128,1114501,19572,9387760,51314920,125136973,35847570
2016-04-20,1368054,160190,663167,1117020,19629,9431443,51395443,125453841,36080202
2016-04-21,1374104,161178,670207,1128075,19743,9486582,51941043,126792443,36445286
2016-04-22,1380094,163148,676800,1139527,20757,9678240,52452000,128150816,37241902
2016-04-23,1386125,164184,680420,1145993,20834,9733458,52732550,128940094,37499928
2016-04-24,1392176,165174,682545,1150238,20922,9787112,52897238,129468589,37892127
2016-04-25,1398157,166248,684588,1154453,21010,9844026,53055570,129999956,38207190
2016-04-26,1404261,167359,687128,1159305,21130,9906883,53252420,130599965,38647236
2016-04-27,1410213,168526,689627,1164179,21229,9969110,53446093,131209111,39047831
2016-04-28,1416275,169758,692034,1169026,21313,10032699,53632635,131816992,39396356
2016-04-29,1422305,170837,694382,1173555,21419,10092165,53814605,132381320,39818059
2016-04-30,1428335,171929,697778,1179549,21511,10146054,54077795,133094133,40147786
2016-05-01,1434393,177973,703589,1195349,21654,10415405,54528148,135162618,40717575
2016-05-02,1440335,180510,709271,1206182,22803,10645435,54968503,136461415,42170582
2016-05-03,1446415,184480,713165,1216772,22910,10827363,55270288,137850105,42691264
2016-05-04,1452469,186052,717109,1224232,23043,10910080,55575948,138749590,43326127
2016-05-05,1458449,187725,721204,1231963,23212,11006112,55893310,139698270,43970556
2016-05-06,1464486,189312,726794,1241532,23378,11096888,56326535,140832142,44555446
2016-05-07,1470508,190718,735319,1254963,23577,11183253,56987223,142370031,45082047
2016-05-08,1476496,192076,738826,1261436,23703,11259235,57259015,143162246,45444600
2016-05-09,1482547,193717,743381,1269659,23819,11348978,57612028,144166156,45974366
2016-05-10,1488591,195478,747893,1277964,23971,11445851,57961708,145183860,46540319
2016-05-11,1494603,197047,752307,1285926,24098,11530299,58303793,146142639,47014026
2016-05-12,1500517,199688,759747,1299342,24439,11688677,58880393,147763503,47935495
2016-05-13,1506616,202800,768169,1314612,24678,11863709,59533098,149611580,48740789
2016-05-14,1512680,205577,778519,1331926,25095,12030442,60335223,151641214,49690485
2016-05-15,1518638,207852,786394,1345347,25218,12150118,60945535,153232751,50257412
2016-05-16,1524653,210277,793000,1357396,25320,12281850,61457500,154688260,50677797
2016-05-17,1530614,212023,798591,1367231,25614,12389326,61890803,155853650,51245005
2016-05-18,1536685,214525,804276,1378148,25924,12540899,62331390,157200435,51984562
2016-05-19,1542748,219631,810539,1393317,26232,12818552,62816773,159159126,52933491
2016-05-20,1548759,223549,817140,1407377,26431,13026670,63328350,160923127,53595100
2016-05-21,1554796,228870,826944,1427833,26727,13317747,64088160,163463812,54464729
2016-05-22,1560777,233470,833366,1441789,28638,13722208,64585865,165235470,55796492
2016-05-23,1566861,235874,838429,1451650,29134,13885997,64978248,166455033,56693579
2016-05-24,1572874,238621,843503,1462114,29314,14029406,65371483,167760846,57411689
2016-05-25,1578884,241136,847959,1471426,29460,14159610,65716823,168922820,58037815
2016-05-26,1584913,244547,853033,1482636,29653,14340160,66110058,170349980,58798022
2016-05-27,1590932,247411,861578,1498049,29985,14495922,66772295,172172492,59635573
2016-05-28,1596977,251678,870169,1515258,30480,14714915,67438098,174295432,60611879
2016-05-29,1602996,264584,886307,1553256,32437,15501382,68688793,179164579,62197262
2016-05-30,1608997,267971,892146,1565389,33265,15743506,69141315,180668472,63114889
2016-05-31,1615004,270486,898569,1577288,33574,15890699,69639098,182089084,63627858
2016-06-01,1620940,273306,906370,1591426,33859,16049586,70243675,183752733,64198817
2016-06-02,1626979,275803,914975,1606333,34229,16203022,70910563,185475074,64919210
2016-06-03,1633051,277879,918265,1613530,34514,16328795,71165538,186383410,65497414
2016-06-04,1639080,279955,921249,1620344,34698,16444552,71396798,187256986,65840793
2016-06-05,1645096,281844,924050,1626601,34885,16551832,71613875,188056200,66262784
2016-06-06,1651059,283676,927220,1633269,35129,16660658,71859550,188900629,66682258
2016-06-07,1657167,285866,930959,1641134,35629,16812198,72149323,189888957,67237567
2016-06-08,1663157,292229,988456,1725966,35912,17158552,76605340,199092543,67718780
2016-06-09,1669248,294504,993055,1735245,36296,17302592,76961763,200239054,68260385
2016-06-10,1675340,296871,997880,1744962,36877,17472254,77335700,201435476,69069588
2016-06-11,1681242,299427,1003296,1755755,37747,17676216,77755440,202753325,69798187
2016-06-12,1687356,301942,1008666,1766604,38711,17891267,78171615,204069754,70754415
2016-06-13,1693421,304839,1014030,1777984,39627,18114314,78587325,205458401,71460169
2016-06-14,1699505,309785,1023356,1796932,41912,18569270,79310090,207751657,72702176
2016-06-15,1705540,314044,1030100,1811716,43035,18879590,79832750,209596103,73724662
2016-06-16,1711547,317019,1034780,1822000,43471,19063184,80195450,210894733,74326129
2016-06-17,1717562,322553,1044910,1843406,46020,19567277,80980525,213494362,76502198
2016-06-18,1723411,336629,1063596,1887732,52906,20660558,82428690,219071045,79746246
2016-06-19,1729300,351318,1081789,1932318,63233,21868643,83838648,224686093,83555804
2016-06-20,1735522,357865,1093485,1957396,66282,22443371,84745088,227753046,85504155
2016-06-21,1741471,363591,1106343,1982769,69357,22987530,85741583,230780518,87619436
2016-06-22,1747470,367987,1117479,2003802,71032,23351867,86604623,233324812,88995226
2016-06-23,1753609,373712,1128047,2026111,73645,23861387,87423643,236048287,90933211
2016-06-24,1759612,377239,1133729,2038501,75113,24166102,87863998,237588167,92030057
2016-06-25,1765654,381010,1141816,2054714,76925,24515600,88490740,239544434,93760854
2016-06-26,1771652,383354,1146366,2064139,77729,24698800,88843365,240704938,94767595
2016-06-27,1777704,385763,1150921,2073747,78652,24926509,89196378,241902297,95621115
2016-06-28,1783756,388421,1155643,2083893,79618,25142250,89562333,243155669,96463747
2016-06-29,1789823,391753,1160978,2095766,80758,25401816,89975795,244636386,97461337
2016-06-30,1795814,394664,1200216,2152183,81832,25636208,93016740,250803462,98326729
2016-07-01,1801799,396774,1283616,2272950,82343,25781594,99480240,263637356,98824454
2016-07-02,1807926,399732,1288764,2284058,83668,26002664,99879210,265014473,99509272
2016-07-03,1813929,402306,1292848,2293047,84178,26171362,100195720,266150730,100045438
2016-07-04,1819974,405574,1298726,2305587,85364,26434088,100651265,267696960,101046486
2016-07-05,1826041,408422,1303292,2315731,86102,26635704,101005130,268970162,101781970
2016-07-06,1831990,412326,1308397,2327690,87355,26938130,101400768,270493332,102765762
2016-07-07,1838078,415356,1313283,2338478,88198,27152955,101779433,271845857,103574180
2016-07-08,1844114,418462,1317790,2348905,88980,27373330,102128725,273160208,104319981
2016-07-09,1850110,421561,1323872,2361345,89921,27589072,102600080,274677761,105070056
2016-07-10,1856236,425578,1330699,2376384,91874,27926266,103129173,276533578,106317874
2016-07-11,1862282,428704,1336048,2388108,92935,28176685,103543720,277988018,107328285
2016-07-12,1868311,431223,1339730,2396547,93363,28332184,103829075,279070545,107939037
2016-07-13,1874317,434875,1343964,2406800,94776,28633587,104157210,280399787,109072452
2016-07-14,1880403,437675,1348412,2416710,95513,28831883,104501930,281641801,109909356
2016-07-15,1886404,440806,1353857,2428494,96488,29073170,104923918,283100001,111008574
2016-07-16,1892392,444302,1359720,2441415,97839,29366382,105378300,284696156,112112253
2016-07-17,1898473,446525,1363282,2449504,98467,29533757,105654355,285710756,112655296
2016-07-18,1904502,447998,1365500,2454562,98750,29627802,105826250,286357231,112988008
2016-07-19,1910611,450482,1369770,2463825,99175,29763875,106157175,287513026,113469855
2016-07-20,1916581,453418,1375374,2475540,100028,29861877,106591485,288861977,114246469
2016-07-21,1922527,458171,1382052,2491385,102818,30279451,107109030,290842870,115897004
2016-07-22,1928681,461582,1385550,2500810,103696,30510064,107380125,292056705,116655599
2016-07-23,1934638,466010,1393406,2517750,105169,30848136,107988965,294155164,117910045
2016-07-24,1940731,469780,1398401,2529840,106200,31131491,108376078,295691009,118769426
2016-07-25,1946668,473585,1400979,2538423,106433,31327979,108575873,296865805,119190205
2016-07-26,1952698,478111,1406413,2552051,107245,31620058,108997008,298614378,120018209
2016-07-27,1958507,483409,1410262,2564436,108046,31916915,109295305,300266757,120964113
